propertyName,defaultValue
alluxio.master.file.access.time.journal.flush.interval,"1h"
alluxio.master.file.access.time.update.precision,"1d"
alluxio.master.file.access.time.updater.shutdown.timeout,"1sec"
alluxio.master.filesystem.liststatus.result.message.length,"10000"
alluxio.master.format.file.prefix,"_format_"
alluxio.master.heartbeat.timeout,"10min"
alluxio.master.hostname,""
alluxio.master.journal.catchup.protect.enabled,"true"
alluxio.master.journal.checkpoint.period.entries,"2000000"
alluxio.master.journal.exit.on.demotion,"false"
alluxio.master.journal.flush.batch.time,"5ms"
alluxio.master.journal.flush.timeout,"5min"
alluxio.master.journal.folder,"${alluxio.work.dir}/journal"
alluxio.master.journal.gc.period,"2min"
alluxio.master.journal.gc.threshold,"5min"
alluxio.master.journal.init.from.backup,""
alluxio.master.journal.log.size.bytes.max,"10MB"
alluxio.master.journal.retry.interval,"1sec"
alluxio.master.journal.space.monitor.interval,"10min"
alluxio.master.journal.space.monitor.percent.free.threshold,"10"
alluxio.master.journal.tailer.shutdown.quiet.wait.time,"5sec"
alluxio.master.journal.tailer.sleep.time,"1sec"
alluxio.master.journal.temporary.file.gc.threshold,"30min"
alluxio.master.journal.type,"EMBEDDED"
alluxio.master.journal.ufs.option,""
alluxio.master.jvm.monitor.enabled,"true"
alluxio.master.keytab.file,""
alluxio.master.lock.pool.concurrency.level,"100"
alluxio.master.lock.pool.high.watermark,"1000000"
alluxio.master.lock.pool.initsize,"1000"
alluxio.master.lock.pool.low.watermark,"500000"
alluxio.master.log.config.report.heartbeat.interval,"1h"
alluxio.master.lost.worker.detection.interval,"10sec"
alluxio.master.lost.worker.file.detection.interval,"5min"
alluxio.master.metadata.sync.concurrency.level,"6"
alluxio.master.metadata.sync.executor.pool.size,"The total number of threads which can concurrently execute metadata sync operations."
alluxio.master.metadata.sync.ufs.prefetch.pool.size,"The number of threads which can concurrently fetch metadata from UFSes during a metadata sync operations"
alluxio.master.metastore,"ROCKS"
alluxio.master.metastore.dir,"${alluxio.work.dir}/metastore"
alluxio.master.metastore.inode.cache.evict.batch.size,"1000"
alluxio.master.metastore.inode.cache.high.water.mark.ratio,"0.85"
alluxio.master.metastore.inode.cache.low.water.mark.ratio,"0.8"
alluxio.master.metastore.inode.cache.max.size,"6135667"
alluxio.master.metastore.inode.enumerator.buffer.count,"10000"
alluxio.master.metastore.inode.inherit.owner.and.group,"true"
alluxio.master.metastore.inode.iteration.crawler.count,"Use {CPU core count} for enumeration"
alluxio.master.metastore.iterator.readahead.size,"64MB"
alluxio.master.metrics.heap.enabled,"true"
alluxio.master.metrics.service.threads,"5"
alluxio.master.metrics.time.series.interval,"5min"
alluxio.master.mount.table.root.alluxio,"/"
alluxio.master.mount.table.root.option,""
alluxio.master.mount.table.root.readonly,"false"
alluxio.master.mount.table.root.shared,"true"
alluxio.master.mount.table.root.ufs,"${alluxio.work.dir}/underFSStorage"
alluxio.master.network.max.inbound.message.size,"100MB"
alluxio.master.periodic.block.integrity.check.interval,"1hr"
alluxio.master.periodic.block.integrity.check.repair,"false"
alluxio.master.persistence.blacklist,""
alluxio.master.persistence.checker.interval,"1s"
alluxio.master.persistence.initial.interval,"1s"
alluxio.master.persistence.max.interval,"1hr"
alluxio.master.persistence.max.total.wait.time,"1day"
alluxio.master.persistence.scheduler.interval,"1s"
alluxio.master.principal,""
alluxio.master.replication.check.interval,"1min"
alluxio.master.rpc.addresses,""
alluxio.master.rpc.executor.core.pool.size,"0"
alluxio.master.rpc.executor.keepalive,"60sec"
alluxio.master.rpc.executor.max.pool.size,"500"
alluxio.master.rpc.executor.min.runnable,"1"
alluxio.master.rpc.executor.parallelism,"2 * {CPU core count}"
alluxio.master.rpc.port,"19998"
alluxio.master.shell.backup.state.lock.grace.mode,"TIMEOUT"
alluxio.master.shell.backup.state.lock.sleep.duration,"0"
alluxio.master.shell.backup.state.lock.timeout,"1m"
alluxio.master.shell.backup.state.lock.try.duration,"1m"
alluxio.master.standby.heartbeat.interval,"2min"
alluxio.master.startup.block.integrity.check.enabled,"true"
alluxio.master.tieredstore.global.level0.alias,"MEM"
alluxio.master.tieredstore.global.level1.alias,"SSD"
alluxio.master.tieredstore.global.level2.alias,"HDD"
alluxio.master.tieredstore.global.levels,"3"
alluxio.master.tieredstore.global.mediumtype,"MEM, SSD, HDD"
alluxio.master.ttl.checker.interval,"1hour"
alluxio.master.ufs.active.sync.event.rate.interval,"60sec"
alluxio.master.ufs.active.sync.interval,"30sec"
alluxio.master.ufs.active.sync.max.activities,"10"
alluxio.master.ufs.active.sync.max.age,"10"
alluxio.master.ufs.active.sync.poll.batch.size,"1024"
alluxio.master.ufs.active.sync.poll.timeout,"10sec"
alluxio.master.ufs.active.sync.retry.timeout,"10sec"
alluxio.master.ufs.active.sync.thread.pool.size,"The number of threads used by the active sync provider process active sync events. A higher number allow the master to use more CPU to process events from an event stream in parallel. If this value is too low, Alluxio may fall behind processing events. Defaults to # of processors / 2"
alluxio.master.ufs.block.location.cache.capacity,"1000000"
alluxio.master.ufs.journal.max.catchup.time,"10min"
alluxio.master.ufs.path.cache.capacity,"100000"
alluxio.master.ufs.path.cache.threads,"64"
alluxio.master.unsafe.direct.persist.object.enabled,"true"
alluxio.master.update.check.enabled,"true"
alluxio.master.update.check.interval,"7day"
alluxio.master.web.bind.host,"0.0.0.0"
alluxio.master.web.hostname,""
alluxio.master.web.port,"19999"
alluxio.master.whitelist,"/"
alluxio.master.worker.connect.wait.time,"5sec"
alluxio.master.worker.info.cache.refresh.time,"10sec"
alluxio.master.worker.timeout,"5min"
